ACM Transactions on Computer-Human Interaction,ACM New York, New York, United States,TOCHI
ACM Transactions on Computer Systems,ACM New York, New York, United States,TOCS
ACM Transactions on Graphics,ACM New York, New York, United States,TOG
ACM Transactions on Information Systems,ACM New York, New York, United States,TOIS
ACM Transactions on Programming Languages and Systems,ACM New York, New York, United States,TOPLAS
IEEE/ACM Transactions on Networking,IEEE Press Piscataway, New Jersey, United States,TON
ACM Transactions on Software Engineering and Methodology,ACM New York, New York, United States,TOSEM
ACM Transactions on Database Systems,ACM New York, New York, United States,TODS
ACM Transactions on Information and System Security,ACM New York, New York, United States,TISSEC
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM New York, New York, United States,TALLIP
ACM Transactions on Embedded Computing Systems,ACM New York, New York, United States,TECS
ACM Transactions on Computing Education,ACM New York, New York, United States,TOCE
ACM Transactions on Computational Logic,ACM New York, New York, United States,TOCL
ACM Transactions on Design Automation of Electronic Systems,ACM New York, New York, United States,TODAES
ACM Transactions on Internet Technology,ACM New York, New York, United States,TOIT
IEEE/ACM Transactions on Audio Speech and Language Processing,IEEE Signal Processing Society, New York, United States, TASLP
Journal of Data and Information Quality,ACM New York, New York, United States,JDIQ
Journal of Experimental Algorithmics,ACM New York, New York, United States,JEA
ACM Journal on Emerging Technologies in Computing Systems,ACM New York, New York, United States,JETC
Journal on Computing and Cultural Heritage,ACM New York, New York, United States,JOCCH
ACM Transactions on Autonomous and Adaptive Systems,ACM New York, New York, United States,TAAS
ACM Transactions on Accessible Computing,ACM New York, New York, United States,TACCESS
ACM Transactions on Architecture and Code Optimization,ACM New York, New York, United States,TACO
ACM Transactions on Algorithms,ACM New York, New York, United States,TALG
ACM Transactions on Applied Perception,ACM New York, New York, United States,TAP
ACM Transactions on Economics and Computation,ACM New York, New York, United States,TEAC
ACM Transactions on Interactive Intelligent Systems,ACM New York, New York, United States,TIIS
ACM Transactions on Intelligent Systems and Technology,ACM New York, New York, United States,TIST
ACM Transactions on Knowledge Discovery from Data,ACM New York, New York, United States,TKDD
ACM Transactions on Management Information Systems,ACM New York, New York, United States,TMIS
ACM Transactions on Computation Theory,ACM New York, New York, United States,TOCT
ACM Transactions on Modeling and Computer Simulation,ACM New York, New York, United States,TOMACS
ACM Transactions on Multimedia Computing Communications and Applications,ACM New York, New York, United States,TOMM
ACM Transactions on Mathematical Software,ACM New York, New York, United States,TOMS
ACM Transactions on Parallel Computing,ACM New York, New York, United States,TOPC
ACM Transactions on Storage,ACM New York, New York, United States,TOS
ACM Transactions on Sensor Networks,ACM New York, New York, United States,TOSN
ACM Transactions on Reconfigurable Technology and Systems,ACM New York, New York, United States,TRETS
ACM Transactions on Spatial Algorithms and Systems,ACM New York, New York, United States,TSAS
ACM Transactions on the Web,ACM New York, New York, United States,TWEB
ACM Computing Surveys,ACM New York, New York, United States,CSUR
Journal of the ACM,ACM New York, New York, United States,JACM
